,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
4,6328,440,440,1563.0,1578.63,98906.64000000068,0.010000000000000009,2023-10-16 04:00:00,2023-10-16 04:00:00,0 days 00:00:00,13050
5,6295,464,465,1586.72,1602.5872,99884.02399999944,0.010000000000000009,2023-10-20 04:00:00,2023-10-20 08:00:00,0 days 04:00:00,13050
0,5001,150,150,1999.51,2019.5152,100046.00520000029,0.01000505123755313,2023-11-20 04:00:00,2023-11-20 04:00:00,0 days 00:00:00,13550
1,4377,296,298,2307.35,2330.4235,100992.70949999985,0.010000000000000009,2023-12-14 12:00:00,2023-12-14 20:00:00,0 days 08:00:00,13550
2,4337,407,407,2352.05,2375.5604,101964.60479999855,0.009995705873599547,2024-01-02 00:00:00,2024-01-02 00:00:00,0 days 00:00:00,13550
3,4375,448,452,2354.57,2260.3776000000003,-412091.7499999996,-0.040004077177573816,2024-01-08 20:00:00,2024-01-09 12:00:00,0 days 16:00:00,13550
0,4322,95,114,2313.73,2329.63,68719.8000000004,0.006872020503688958,2024-02-02 08:00:00,2024-02-05 12:00:00,3 days 04:00:00,14050
1,4322,114,127,2329.63,2399.5086,302015.3092,0.029995578697046277,2024-02-05 12:00:00,2024-02-07 16:00:00,2 days 04:00:00,14050
2,-2696,343,343,3845.81,3730.4356999999995,311049.1128000011,0.030000000000000138,2024-03-14 16:00:00,2024-03-14 16:00:00,0 days 00:00:00,14050
3,3058,387,390,3492.84,3388.0645,-320403.4790000006,-0.029997222890255526,2024-03-22 00:00:00,2024-03-22 12:00:00,0 days 12:00:00,14050
4,2998,406,408,3454.98,3558.6190999999994,310710.02179999824,0.02999701879605654,2024-03-25 04:00:00,2024-03-25 12:00:00,0 days 08:00:00,14050
5,3149,484,491,3388.4,3490.0622999999996,320134.58269999846,0.030003039782788177,2024-04-07 04:00:00,2024-04-08 08:00:00,1 days 04:00:00,14050
